,date,geartype,hours,vesselIDs,iso3,label
195,2021-02,drifting_longlines,6125.426724,50,FJI,Fiji
196,2021-02,fishing,108.3080175,2,FJI,Fiji
197,2021-03,drifting_longlines,6063.071436,56,FJI,Fiji
198,2021-03,fishing,59.73138889,2,FJI,Fiji
199,2021-04,drifting_longlines,6606.344754,59,FJI,Fiji
200,2021-04,fishing,17.47833333,1,FJI,Fiji
201,2021-05,drifting_longlines,8405.427377,77,FJI,Fiji
202,2021-06,drifting_longlines,6910.355975,46,FJI,Fiji
203,2021-06,trollers,57.845,1,FJI,Fiji
204,2021-07,drifting_longlines,6528.721083,46,FJI,Fiji
205,2021-08,drifting_longlines,6658.455933,35,FJI,Fiji
206,2021-08,set_longlines,12.35416667,1,FJI,Fiji
207,2021-09,drifting_longlines,4482.551012,44,FJI,Fiji
208,2021-09,set_longlines,46.96250393,1,FJI,Fiji
209,2021-09,trollers,5.300555556,1,FJI,Fiji
210,2021-10,drifting_longlines,5772.974423,42,FJI,Fiji
211,2021-10,trollers,1.990277778,1,FJI,Fiji
212,2021-11,drifting_longlines,6252.453667,40,FJI,Fiji
213,2021-11,fishing,0.633055556,1,FJI,Fiji
214,2021-12,drifting_longlines,6511.68954,45,FJI,Fiji
215,2021-12,fishing,16.38527778,1,FJI,Fiji
216,2021-12,set_longlines,6.200833333,1,FJI,Fiji
217,2022-01,drifting_longlines,9.944444444,6,FJI,Fiji
218,2022-01,drifting_longlines,5205.868553,38,FJI,Fiji
219,2022-01,set_longlines,20.64388889,1,FJI,Fiji
220,2022-02,drifting_longlines,5603.194611,30,FJI,Fiji
221,2022-02,set_longlines,5.065,1,FJI,Fiji
222,2022-03,drifting_longlines,5992.641235,46,FJI,Fiji
223,2022-03,set_longlines,21.70388889,1,FJI,Fiji
224,2022-04,drifting_longlines,6388.134477,65,FJI,Fiji
225,2022-04,fishing,11.78305556,1,FJI,Fiji
226,2022-04,tuna_purse_seines,3.300555556,1,FJI,Fiji
227,2022-05,drifting_longlines,7074.802791,51,FJI,Fiji
228,2022-05,fishing,54.98666667,1,FJI,Fiji
229,2022-05,set_longlines,13.67694444,1,FJI,Fiji
230,2022-05,tuna_purse_seines,2.433055556,1,FJI,Fiji
231,2022-06,drifting_longlines,7063.12501,46,FJI,Fiji
232,2022-06,set_longlines,46.13137778,3,FJI,Fiji
233,2022-06,trollers,49.42527778,1,FJI,Fiji
234,2022-06,tuna_purse_seines,39.4775,1,FJI,Fiji
235,2022-07,drifting_longlines,8381.101138,69,FJI,Fiji
236,2022-07,fishing,370.894775,3,FJI,Fiji
237,2022-07,set_longlines,243.1387167,3,FJI,Fiji
238,2022-07,tuna_purse_seines,10.23168889,1,FJI,Fiji
239,2022-08,drifting_longlines,7095.930608,68,FJI,Fiji
240,2022-08,fishing,354.1452333,3,FJI,Fiji
241,2022-08,set_longlines,13.43472222,2,FJI,Fiji
242,2022-08,tuna_purse_seines,26.1125,1,FJI,Fiji
243,2022-09,drifting_longlines,8045.053637,53,FJI,Fiji
244,2022-09,fishing,47.166825,1,FJI,Fiji
245,2022-09,tuna_purse_seines,47.43361111,1,FJI,Fiji
246,2022-10,drifting_longlines,8802.626955,65,FJI,Fiji
247,2022-10,fishing,37.35861111,2,FJI,Fiji
248,2022-11,drifting_longlines,8198.157148,47,FJI,Fiji
249,2022-11,fishing,47.06619639,2,FJI,Fiji
250,2022-11,set_longlines,3.915555556,1,FJI,Fiji
251,2022-12,drifting_longlines,7212.988635,47,FJI,Fiji
252,2022-12,tuna_purse_seines,8.955,2,FJI,Fiji
253,2023-01,drifting_longlines,3.021666667,2,FJI,Fiji
254,2023-01,drifting_longlines,6227.965556,51,FJI,Fiji
255,2023-01,fishing,4.681388889,1,FJI,Fiji
256,2023-02,drifting_longlines,5146.011667,54,FJI,Fiji
257,2023-02,set_longlines,50.68555556,1,FJI,Fiji
258,2023-03,drifting_longlines,5748.867222,66,FJI,Fiji
259,2023-03,set_longlines,15.99111111,1,FJI,Fiji
